Word,Definition,Sentence
비대칭성,"非对称性 (非對稱性) / [EN] Asymmetry","사랑은 비대칭성이 굉장히 중요한데 저는 우정은 비대칭성이 그렇게 안 중요한 거 같아요. (爱情中非对称性非常重要，但我认为友谊中非对称性似乎没那么重要。)"
고뇌,"苦恼 (苦惱) / [EN] Anguish, deep distress, agony","인간관계는 우리가 느끼는 가장 큰 기쁨이지만 동시에 가장 깊은 고뇌의 원천이기도 합니다. (人际关系是我们能感受到的最大快乐，但同时也是最深苦恼的源泉。)"
조어법,"造词法 (造語法) / [EN] Word formation, coinage principles","저는 애초에 어떤 개념을 볼 때 용어나 조어법으로부터 분석하는 습성이 있습니다. (我原本在看待某个概念时，就有从词汇或造词法开始分析的习惯。)"
정체성,"认同性、主体性 (正體性) / [EN] Identity","사람과 사람 사이의 관계 속에 인간의 핵심적인 정체성이 담겨 있다고 봅니다. (我认为人与人之间的关系中包含着人类核心的身份认同。)"
멸종,"灭绝 (滅絕) / [EN] Extinction","과거 경쟁 관계에 있던 인류의 다른 종들은 결국 지구상에서 모두 멸종했습니다. (过去处于竞争关系的其他人类物种最终在地球上全部灭绝了。)"
인지 혁명,"认知革命 (認知 革命) / [EN] Cognitive Revolution","유발 하라리는 인간이 지구를 지배하게 된 핵심적인 계기로 인지 혁명을 꼽습니다. (尤瓦尔·赫拉利将认知革命视为人类统治地球的核心契机。)"
유대감,"纽带感、亲密感 (紐帶感) / [EN] A sense of bonding, fellowship, or solidarity","뇌가 커질수록 인간은 타 개체와 상대적으로 더 깊은 유대감을 가지려고 합니다. (大脑越大，人类就越倾向于与其他个体建立相对更深的纽带感。)"
기복,"起伏 (起伏) / [EN] Ups and downs, emotional fluctuations","학창 시절에 저는 감정적으로 업앤다운, 즉 기복이 너무 심해서 주변을 힘들게 했습니다. (学生时代，我情绪起伏，即情绪的波动非常剧烈，让周围的人很辛苦。)"
사교적,"社交性的 (社交的) / [EN] Social, sociable","많은 사람들이 타인과 밥을 먹는 시간을 사교적인 목적으로 활용하곤 합니다. (许多人常常把与他人共进晚餐的时间作为社交目的来利用。)"
섭식 장애,"摄食障碍 (攝食 障礙) / [EN] Eating disorder","저는 어려서부터 먹는 행위에 대한 정신적 어려움, 즉 섭식 장애 같은 것을 겪었습니다. (我从小就经历过对进食行为的精神困难，即类似于摄食障碍的症状。)"
