Word,Definition,Sentence,Pronunciation
뜻깊다,"意义深远 (---) / [EN] meaningful, significant, deeply rewarding"," ""과정은 고됐지만 결과가 너무 뜻깊더라고. (虽然过程很艰辛，但结果真的太有意义了。)""",뜯깁따
샘솟듯,"源源不断 (---) / [EN] welling up, gushing out, overflowing"," ""아이디어가 진짜 샘솟듯이 나오시더라고. (他的点子真的像泉水一样源源不断地涌现出来呢。)""",샘솓뜯
샘,"泉水 / 嫉妒 / 老师 (---) / [EN] spring, fountain / jealousy / teacher (slang)"," ""친구가 새 차를 사니까 은근히 샘이 나더라고요. (朋友买了新车，心里隐隐有点嫉妒呢。)""",
솟다,"涌出 / 耸立 (---) / [EN] to soar, to gush, to rise, to spring up"," ""새해 아침 동해바다 위로 붉은 해가 힘차게 솟아올랐다. (新年的早晨，红日从东海海面上冉冉升起。)""",솓따
쏟아지다,"倾泻 / 纷至沓来 (---) / [EN] to pour, to gush, to spill, to flood"," ""기자회견이 시작되자마자 날카로운 질문들이 사방에서 쏟아졌다. (记者会刚一 heard 开始，尖锐的问题便从四面八方铺天盖地而来。)""",쏘다지다
샘솟다,"涌现 (---) / [EN] to well up, to gush out, to spring up"," ""동료들의 따뜻한 응원을 받으니 다시 시작할 수 있다는 용기가 샘솟았다. (受到同事们温暖的鼓励，重新开始的勇气油然而生。)""",샘솓따
굴다,"表现得 / 行动 (---) / [EN] to behave, to act, to treat"," ""그런데 애기가 선풍기를 못살게 굴더니 결국 고장 냈어. (不过那孩子一直折腾电风扇，最后给弄坏了。)""",
무임승차,"搭便车 (無賃乘車) / [EN] free-riding, fare evasion"," ""이번 마케팅 공모전에서 철수는 아무것도 안 하고 내 성과에 무임승차했어. (这次营销大赛中，哲秀什么都没干，白白搭了我的便车分享成果。)""",
대여섯,"五六个 (---) / [EN] five or six, around five to six"," ""우리 조카는 겨우 대여섯 살인데 벌써 한글을 다 뗐어. (我的侄子才不过五六岁，就已经把韩文全部学完了。)""",대여섣
고르다,"选择 / 平整 / 均匀 (---) / [EN] to choose / to level / to be even, uniform"," ""씨앗을 심기 전에 먼저 마당의 흙을 고르게 다져야 한다. (播种之前，需要先把院子里的土整平压实。)""",
배기다,"硌 / 顶住 (---) / [EN] to be pressed (painfully) / to endure, withstand"," ""맨바닥에서 이불도 안 깔고 잤더니 등이 배겨서 죽겠네. (没铺被子直接睡在光地板上，背硌得疼死了。)""",
알,"肌肉酸痛 / 卵 / 颗粒 (---) / [EN] knotted muscle, sore muscle / egg / grain"," ""어제 안 쓰던 근육을 썼더니 종아리에 알이 배었어. (昨天动用了平时不怎么用的肌肉，结果小腿肚子酸痛酸痛的。)""",
베다,"割 / 枕 (---) / [EN] to cut, chop / to pillow, rest head on"," ""배운 것은 매일매일 연습을 해야 몸에 배다. (学过的心得需要天天练习，才能习惯成自然。)""",
지론,"一贯的主张 (持論) / [EN] pet theory, cherished belief, fixed opinion"," ""워싱은 예측 능력 없으면 차라리 말을 말라. 이 지론대로예요. (清洗(分析)如果没有预测能力，那还不如闭嘴。正中这一贯的主张。)""",
등판,"登场 / 出马 (登板) / [EN] taking the mound, appearance, entry"," ""케빈 워시의 등판이 약간 뭐라 그럴까요? (凯文·沃什的粉墨登场，该怎么说呢？)""",
