Word,Definition,Sentence
빌빌거리다,"卑躬屈膝、唯唯诺诺、没精打采 / [EN] to grovel, to cower, to lack energy","그는 평소 동기들 앞에서는 큰소리를 치면서도, 인사권을 쥔 부장님 앞에서는 한없이 빌빌거린다. (他平时在同期们面前大喊大叫，但在掌握人事权的部长面前却一味地卑躬屈膝。)"
관할서,"管辖警署、辖区派出소 (管轄署) / [EN] the police station with jurisdiction","인근 주민의 신고를 받은 관할서 지구대 대원들이 즉각 현장으로 출동해 용의자를 검거했다. (接到附近居民报警的辖区警署地区队队员们立即出动到现场抓获了嫌疑人。)"
유괴사건,"绑架案、拐骗案 (誘拐事件) / [EN] kidnapping case, abduction case","최근 도심 한복판에서 초등학생을 타깃으로 한 유괴사건이 발생하자, 경찰은 비상령을 선포하고 수사력을 집중했다. (最近在市中心发生了针对小学生的绑架案，警察宣布了紧急令并集中了调查力。)"
무전,"无钱、没钱、无线电、对讲机 (無錢 / 無線) / [EN] penniless, radio communication","상습적으로 술집을 돌며 무전취식을 일삼던 취객이 식당 주인의 신고로 현장에서 체포되었다. (惯犯绕着酒吧屡次进行无钱取食(吃霸王餐)的醉汉因食堂主人的报警在现场被逮捕了。)"
젠가,"叠叠乐、抽木块 / [EN] Jenga game, an unstable structure","그 기업의 무리한 부채 중심 경영은 마치 언제 무너질지 모르는 아슬아슬한 젠가 탑을 보는 듯하다. (那家企业的勉强以负债为中心的经营，仿佛就像看着不知何时会倒塌的惊险的叠叠乐塔一样。)"
걔인가,"是那个家伙吗、是那个人吗 / [EN] Is that him/her?, Is that the guy/girl?","저기 카페 창가 자리에 앉아서 노트북 하고 있는 애가 민우가 말했던 걔인가? (坐在那边咖啡厅窗户座位上玩电脑那个孩子，就是民宇说过的那个人吗？)"
희망 있는 날,"充满希望的一天 (希望-) / [EN] a hopeful day, a day full of promise","새해 첫날 떠오르는 태양을 바라보며, 올해는 우리 가족 모두에게 더 희망 있는 날들이 가득하기를 기원했다. (望着新年第一天升起的太阳，祈愿今年我们全家都能充满更多希望的日子。)"
횡설수설,"颠三倒四、胡言乱语 (橫說豎說) / [EN] incoherent speech, rambling","수사관이 결정적인 증거를 제시하자, 용의자는 크게 당황하며 제대로 답변을 하지 못하고 횡설수설하기 시작했다. (当调查官出示决定性的证据时，嫌疑人大惊失色没能好好回答，开始颠三倒四了。)"
끼니를 때우다,"凑合吃一顿、勉强填饱肚子 / [EN] to skimp on a meal, to make do with a light snack","그는 연말 결산 보고서를 작성하느라 식사 시간도 잊은 채, 책상 앞에서 샌드위치로 대충 끼니를 때우였다. (他为了撰写年末决算报告书连吃饭时间都忘了，在办公桌前用三明治敷衍地凑合吃了一顿。)"
가감,"더하거나 뺌、增减 (加減) / [EN] addition and subtraction, modification","회사의 미래가 걸린 중대한 사안인 만큼, 직급에 상관없이 모두가 자신의 의견을 가감 없이 개진해 주시기 바랍니다. (因为是关系到公司未来的重大事项，希望大家论职级高低都能毫无保留地发表自己的意见。)"
조항,"条款、条文 (條項) / [EN] clause, article, provision","변호사는 계약서 제3조에 명시된 독소 조항을 삭제해 달라고 상대 기업에 강력히 요구했다. (律师强烈要求对方企业删除合同第3条中明示的毒丸条款。)"
허물,"皮、脱皮、错误、瑕疵 / [EN] dead skin peeling off, fault, shortcoming","선크림을 깜빡하고 서핑을 즐겼더니, 어깨와 등 쪽 피부가 햇볕에 타서 허물이 벗겨지기 시작했다. (忘记涂防晒霜享受了冲浪，结果肩膀和后面皮肤被晒伤开始脱皮了。)"
시커멓다,"黝黑、漆黑、乌黑 / [EN] pitch-black, heavily tanned","군대에서 군인들이 땡볕 아래 훈련을 지속한 결과, 얼굴이 하나같이 시커멓게 변해 있었다. (在军队里军人们在烈日下持续训练的结果，脸每一个都变得黝黑。)"
겉포장,"外包装、华而不实 (겉包裝) / [EN] outer packaging, flashy exterior","이번 마케팅 기획서는 겉포장만 화려할 뿐, 정작 우리가 필요로 하는 구체적인 예산 대비 효율성이라는 알맹이가 빠져 있다. (这次营销策划书只是外包装华丽而已，正当我们需要的具体预算对比效率这一核心内容却漏掉了。)"
눈물을 안기다,"令人落泪的、带来痛苦的 / [EN] to bring someone to tears, to cause someone great sorrow","우리 팀은 경기 종료 직전 통한의 역전 골을 허용하며, 경기장을 가득 메운 홈팬들에게 뜨거운 눈물을 안겼다. (我们队在比赛结束直前容许了痛恨的逆转进球，给填满体育场的主场球迷们带来了热泪(痛苦)。)"
