Word,Definition,Sentence,Pronunciation
안착하다,"站稳脚跟 (安着--) / [EN] to settle in successfully, to land safely, to establish firmly",하지만 한국 시장에 안착하려면 현지화 전략이 필수적이다. (但是要想在韩国市场站稳脚跟，本土化战略是必不可少的。),안차카다
속속,"陆陆续续 (續續) / [EN] one after another, in succession, continuously",속속 한국 시장의 문을 두드리고 있는 겁니다. (它们正陆续敲开韩国市场的大门。),속쏙
북적북적,"人山人海 (----) / [EN] crowded, bustling, teeming with people","요일, 시간 가릴 것 없이 늘 사람들로 북적북적합니다. (不分星期几、不分时段，总是挤满了人。)",북쩍북쩍
추임새,"随口说的话/口头禅 (---) / [EN] an encouraging interjection used in pansori; an offhand remark, filler comment not meant literally","아니, 지금 먹고 싶다는 게 아니라 그냥 추임새였어. (不是，我不是说现在想吃，只是随口说说而已。)",
오가다,"来来往往 (---) / [EN] to come and go, to go back and forth, to be exchanged",주고받는 만큼 지출도 함께 오가는 셈인데요. (交流多少，支出也随之相应往来。),
인식이 퍼지다,"观念扩散正在 认知扩散 (認識---) / [EN] a perception spreads, an idea/awareness becomes widespread","최근 2030 세대들 사이에선 꼭 술을 마셔야 할까라는 인식이 퍼지면서 회식 문화도 바뀌고 있다. (最近在20-30岁一代中,""喝酒是不是必须的""这种想法正在扩散,聚餐文化也在改变。)",인시기 퍼지다
윤슬,"粼粼波光 (--) / [EN] shimmering light on water (sun or moonlight), glittering ripples",제주 바다의 윤슬이 정말 아름다웠어요. (济州岛海面上的波光真的很美。),
밥상교육,"餐桌上的教育 (-床敎育) / [EN] table manners education, informal education through family meals","우리 집은 어릴 때부터 밥상교육을 철저히 받아서 식사 예절이 몸에 배어 있다. (我们家从小就受到严格的餐桌教育,所以用餐礼仪已经根深蒂固。)",밥쌍교육
품값,"工钱 (--) / [EN] wage, pay for labor, cost of work",이 일은 힘들지만 품값이 후하다. (这份工作虽然辛苦，但工钱很优渥。),품갑
완전 소중하다,"太珍贵 (完全----) / [EN] totally precious, extremely dear, very important (colloquial)",넌 나한테 완전 소중한 사람이야. (你对我来说超级珍贵。),
넘을 수 없는 사차원 벽,无法跨越的差距 (-- - -- 四次元 壁) / [EN] an insurmountable gap; a difference too vast to overcome,천재와 나 사이엔 넘을 수 없는 사차원 벽이 있다. (天才和我之间有一道无法跨越的四次元之墙。),너믈 수 엄는 사차원 벽
딸려 있다,"附带 (----) / [EN] to be attached to, to belong to, to come with",이 원룸에는 화장실이 딸려 있어요. (这间单人房附带卫生间。),딸려 읻따
무작정,"盲目地 (無酌定) / [EN] recklessly, blindly, without any plan",나는 계획도 없이 무작정 여행을 떠났다. (我毫无计划地就出发去旅行了。),무작쩡
악덕 기업,"黑心企业 (惡德企業) / [EN] unscrupulous company, exploitative employer, corrupt business","신입사원이 월급을 안 받는다고 해서 무슨 악덕 기업 얘기인가 했더니. (听说新员工没拿到工资,还以为是什么黑心企业的事呢。)",악떡 기업
냉각기,"冷静期/冷却期 (冷却期) / [EN] cooling-off period, time to calm down after a conflict",싸운 뒤에 우리는 며칠 동안 냉각기를 가졌어요. (吵架后我们冷静了几天。),냉각끼
