Word,Definition,Sentence
전폭적,"现代中文核心解释: 全面的、毫无保留的 (原生韩文汉字: 全幅的) / [EN] Full-scale, wholehearted, unreserved support or agreement",중앙그룹의 전폭적인 지원 덕분이었습니다 (多亏了中央集团全力的支持)
구멍 뚫리다,出现破洞/穿孔 (---) / [EN] to get a hole punctured or torn in something,아니 작년에는 구멍 뚫린 옷을 사더니 이번엔 또 뭘 사려고 그래? (你去年不是买了个带破洞的衣服嘛，这次又想买什么？)
과일망,"水果网套(果实网,原生韩文汉字---)/ [EN] mesh/foam net used to protect fruit",이거 옷인가..? 과일망 같은 게 왔는데..? (这是衣服吗..?收到的东西好像水果网套一样..?)
되돌리다,"把事物恢复到原来状态、倒回原状 (---) / [EN] to turn back, reverse, or restore something to its original state",지나간 시간들을 모두 다 되돌릴 순 없겠지 (无法把过去的所有时光都倒回去)
적정 인원,适宜人数/适当人数 (適正人員) / [EN] the appropriate or optimal number of people for a place or activity,이번 주 정모 인원이 적정 인원에 도달하여 멤버 게스트 신청은 받지 않습니다. (本周定期聚会的人数已达到适宜人数，因此不再接受会员嘉宾申请。)
특허 건수,专利数量 (专利 件數) / [EN] the number of patents,"인구 10만 명당 AI특허 건수 대한민국이 1위를 차지했다. (每10万人口中AI专利数量,韩国排名第一。)"
조사국,"受调查的国家/调查对象国 (調査國) / [EN] surveyed country, a nation included in a survey or investigation",조사국 가운데 절반 이상의 국가가 AI 사용률을 기록했다. (在受调查的国家中，一半以上记录了AI使用率。)
셈,"计算 / 表示结果或推论时用于'-는 셈이다'，意为'算是...'、'相当于...' (---) / [EN] calculation; (in '-는 셈이다') amounts to, can be considered as, in effect",단기간에도 성과를 낼 수 있다는 걸 우리나라가 증명한 셈입니다. (可以说我们国家已经证明了即使在短期内也能取得成果。)
왕세자,"王世子 (王世子) / [EN] crown prince, heir to the throne",당시 왕세자였던 모하메드 빈 자이드 알나얀은 훗날 아랍에미리트의 대통령이 되었다. (当时是王世子的穆罕默德·本·扎耶德·阿勒纳哈扬后来成为了阿联酋总统。)
양날,"双刃/两面性 (兩+날, ""날""为固有韩语词) / [EN] both edges/blades; metaphor for double-edged, having both benefits and risks",하지만 양날의 검인 UAE의 석유는 축복이자 저주다. (但作为双刃剑的阿联酋石油既是祝福也是诅咒。)
손민수,"完全模仿他人 (原生韩文汉字---) / [EN] to copy someone's style or actions exactly, copycat",그럼 우리나라 정부도 손민수 해볼까요? (那我们国家政府也来抄一下(别国的政策)吧?)
